"LibraryID","PreviousVersion","NewestVersion","AddedDeps","RemovedDeps","AddedDepsCount","RemovedDepsCount","Change","NetChange"
"ar.com.fdvs:DynamicJasper","2.0.7","2.0.8","[]","[]","0","0","No Change","0"
"ar.com.fdvs:DynamicJasper","2.0.8","2.1.0","[""hsqldb:hsqldb"",""org.hibernate:hibernate"",""log4j:log4j"",""httpunit:httpunit"",""xalan:xalan""]","[]","5","0","Changed","5"
"ar.com.fdvs:DynamicJasper","2.1.0","2.1.3","[]","[]","0","0","No Change","0"
"ar.com.fdvs:DynamicJasper","2.1.3","3.0.1","[""org.apache.struts:struts2-core"",""org.apache.struts:struts2-jasperreports-plugin""]","[]","2","0","Changed","2"
"ar.com.fdvs:DynamicJasper","3.0.1","3.0.2","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.8","2.0.9","[]","[]","0","0","No Change","0"
"args4j:args4j-site","2.0.8","2.0.9","[]","[]","0","0","No Change","0"
"args4j:args4j-tools","2.0.8","2.0.9","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.226","0.0.227","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.227","0.0.231","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.231","0.0.236","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.236","0.0.238","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.238","0.0.243","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.243","0.0.244","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.244","0.0.249","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.249","0.0.255","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.255","0.0.264","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.264","0.0.278","[]","[]","0","0","No Change","0"
"bouncycastle:bcmail-jdk14","138","139","[]","[]","0","0","No Change","0"
"bouncycastle:bcprov-jdk14","138","139","[]","[]","0","0","No Change","0"
"bouncycastle:bcprov-jdk14","139","140","[]","[]","0","0","No Change","0"
"br.com.caelum.seleniumdsl:selenium-dsl","0.8.1","0.8.4","[]","[]","0","0","No Change","0"
"br.com.caelum.seleniumdsl:selenium-dsl","0.8.4","0.8.5","[]","[]","0","0","No Change","0"
"br.com.caelum.seleniumdsl:selenium-dsl","0.8.5","0.8.5.1","[]","[]","0","0","No Change","0"
