"LibraryID","PreviousVersion","NewestVersion","AddedDeps","RemovedDeps","AddedDepsCount","RemovedDepsCount","Change","NetChange"
"antlr:antlr","2.7.7","3.0ea8","[]","[]","0","0","No Change","0"
"antlr:antlr","3.0ea8","3.0b5","[""org.antlr:stringtemplate""]","[]","1","0","Changed","1"
"asm:asm-all","3.0","20070324","[]","[]","0","0","No Change","0"
"biz.aQute:bnd","0.0.160","0.0.169","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.116","0.0.133","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.133","0.0.138","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.138","0.0.140","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.140","0.0.145","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.145","0.0.160","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.160","0.0.169","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.169","0.0.189","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.189","0.0.190","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.190","0.0.198","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.198","0.0.199","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.199","0.0.203","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.203","0.0.205","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.205","0.0.208","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.208","0.0.212","[]","[]","0","0","No Change","0"
"biz.aQute:bndlib","0.0.212","0.0.213","[]","[]","0","0","No Change","0"
"c3p0:c3p0","0.9.1","0.9.1.1","[]","[]","0","0","No Change","0"
"c3p0:c3p0","0.9.1.1","0.9.1.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:db-maven-plugin","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:db-maven-plugin","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:db-maven-plugin","1.0.2","1.0-beta","[]","[""commons-lang:commons-lang""]","0","1","Changed","-1"
"ch.hortis.sonar:sonar","0.2","1.0","[""org.easymock:easymockclassextension"",""org.apache.derby:derbyclient"",""org.easymock:easymock"",""hsqldb:hsqldb"",""org.apache.commons:commons-io"",""junit:junit"",""org.dbunit:dbunit"",""commons-lang:commons-lang""]","[]","8","0","Changed","8"
"ch.hortis.sonar:sonar","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar","1.0.2","1.0-beta","[]","[""commons-lang:commons-lang""]","0","1","Changed","-1"
"ch.hortis.sonar:sonar-application","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-application","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-application","1.0.2","1.0-beta","[]","[""commons-lang:commons-lang""]","0","1","Changed","-1"
"ch.hortis.sonar:sonar-commons","0.2","1.0","[""org.apache.commons:commons-io"",""org.apache.derby:derbyclient"",""org.easymock:easymockclassextension"",""org.dbunit:dbunit"",""org.hibernate:hibernate-commons-annotations"",""org.easymock:easymock""]","[""mysql:mysql-connector-java""]","6","1","Changed","5"
"ch.hortis.sonar:sonar-commons","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-commons","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-commons","1.0.2","1.0-beta","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-core","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-core","1.0.1","1.0.2","[""commons-collections:commons-collections""]","[]","1","0","Changed","1"
"ch.hortis.sonar:sonar-core","1.0.2","1.0-beta","[""quartz:quartz""]","[""commons-collections:commons-collections"",""commons-lang:commons-lang""]","1","2","Changed","-1"
"ch.hortis.sonar:sonar-db-embedder","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-db-embedder","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-db-embedder","1.0.2","1.0-beta","[]","[""commons-lang:commons-lang""]","0","1","Changed","-1"
"ch.hortis.sonar:sonar-maven-plugin","0.2","1.0","[""org.apache.derby:derbyclient"",""junit:junit"",""org.apache.commons:commons-io"",""org.easymock:easymockclassextension"",""commons-lang:commons-lang"",""org.easymock:easymock"",""org.dbunit:dbunit"",""mysql:mysql-connector-java""]","[""commons-io:commons-io""]","8","1","Changed","7"
"ch.hortis.sonar:sonar-maven-plugin","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-maven-plugin","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-maven-plugin","1.0.2","1.0-beta","[]","[""commons-lang:commons-lang""]","0","1","Changed","-1"
"ch.hortis.sonar:sonar-web","1.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.hortis.sonar:sonar-web","1.0.1","1.0.2","[""jfree:jfreechart""]","[]","1","0","Changed","1"
"ch.hortis.sonar:sonar-web","1.0.2","1.0-beta","[]","[""jfree:jfreechart"",""commons-lang:commons-lang""]","0","2","Changed","-2"
"ch.marcus-schulte.maven:hivedoc-plugin","1.0.0","1.0.1","[]","[]","0","0","No Change","0"
"ch.marcus-schulte.maven:hivedoc-plugin","1.0.1","1.0.2","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.8","0.9","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9","0.8.1","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.8.1","0.9.1","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.1","0.9.2","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.2","0.9.3","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.3","0.9.4","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.4","0.9.5","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.5","0.9.6","[]","[]","0","0","No Change","0"
"ch.qos.logback:log4j-bridge","0.9.6","0.9.7","[]","[]","0","0","No Change","0"
"ch.qos.logback:logback-access","0.8","0.9","[]","[]","0","0","No Change","0"
"ch.qos.logback:logback-access","0.9","0.8.1","[]","[]","0","0","No Change","0"
"ch.qos.logback:logback-access","0.8.1","0.9.1","[]","[]","0","0","No Change","0"
"ch.qos.logback:logback-access","0.9.1","0.9.2","[]","[]","0","0","No Change","0"
"ch.qos.logback:logback-access","0.9.2","0.9.3","[]","[]","0","0","No Change","0"
